Question,Answer
Hello,Hi! How can I help you?
How are you?,I am fine thank you.
What is AI?,AI stands for Artificial Intelligence.
What is Python?,Python is a programming language.
Who are you?,I am an AI chatbot.
What is machine learning?,Machine learning is a branch of AI.
What is data science?,Data science is the study of data.
What is GitHub?,GitHub is a platform for code hosting.
What is a chatbot?,A chatbot is a software that can talk with users.
What is programming?,Programming is writing instructions for computers.
Bye,Goodbye and have a nice day.
